uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,index,railway,highway,driving time,oligopolist,"non-oli, national or regional","non-oli, local",shop,bistro,WC,vacuum cleaner,portal car wash,high pressure cleaner,work shop,backery,truck gas station,ATM,restaurant,diaper station,shower,self service
ce8fefd6-070c-4b99-8c5b-f24c06f00b6a,Tankstelle am Kaufland,Kaufland,??u??ere M??nchner Str.,100,83026,Rosenheim,47.8485,12.0918,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""12:00"",""endp"":""21:00""}]}]}",14,,,2,,1,,1,,,,,,,,,,,,,
02250cd9-cb98-480f-91b8-8d98acf95b47,"Aral Tankstelle, Samerberg Nord oHG Autobahnrasts",ARAL,A8 Samerberg Nord,8,83101,Rohrdorf,47.8029556,12.1781359,3/18/2014 16:45,{},11,,1,3,1,,,1,1,1,,,,,,1,,1,1,1,1
0f269d49-b196-49c4-b21d-df11a40cd3ff,"ROSENHEIM, AEUSSERE MUENCHENER STR.",Shell,AEUSSERE MUENCHENER STR. 43,,83026,ROSENHEIM,47.852527,12.100894,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""06:00"",""endp"":""23:59""}]}]}",15,1,,1,1,,,1,,1,,1,,,,,1,,,,
e5cff162-464d-4d7e-80a2-137e08dc2c82,TOTAL ROHRDORF,TOTAL,BAB SAMERBERG/SUED A8,,83101,ROHRDORF,47.80201,12.17543,3/18/2014 16:45,{},1,,1,3,1,,,1,1,1,,,,,1,1,1,,,,1
cd8ba6a6-9569-1ed6-8bd0-a6511bd08b15,JET ROSENHEIM EBERSBERGER STR. 104,JET,EBERSBERGER STR. 104,,83024,ROSENHEIM,47.87315792,12.1108611,6/10/2016 0:00,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",19,,,3,1,,,1,1,,,,,,1,,,,,,
c893295c-94ff-4294-abde-a88df6883b5a,Esso Tankstelle,ESSO,EBERSBERGER STR. 31, ,83022,ROSENHEIM,47.864495,12.121911,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""05:30"",""endp"":""23:15""}]}]}",4,,,1,1,,,1,1,,,,,,1,,,,,,
57861146-40bf-4231-ba1a-2db4c7ee66df,ROSENHEIM - HUBERTUSSTRASSE 9,Agip,Hubertusstrasse,9,83022,Rosenheim,47.85597168,12.11058043,3/20/2014 0:00,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""05:30"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",17,,,1,,1,,1,1,,,1,,,,1,,,,,
96915c76-348d-4dbc-9ce9-81dbd9bf2f8c,ALLGUTH GmbH  c/o Ralph Anton Reinhard,ALLGUTH,Kufsteiner Str.,124,83026,Rosenheim,47.838543,12.1201725,3/18/2014 16:45,"{""overrides"":[{""startp"":""2020-05-21 00:00"",""endp"":""2020-05-22 00:00"",""is_close"":true},{""startp"":""2020-06-01 00:00"",""endp"":""2020-06-02 00:00"",""is_close"":true},{""startp"":""2020-06-11 00:00"",""endp"":""2020-06-12 00:00"",""is_close"":true},{""startp"":""2020-08-15 00:00"",""endp"":""2020-08-16 00:00"",""is_close"":true},{""startp"":""2020-10-03 00:00"",""endp"":""2020-10-04 00:00"",""is_close"":true},{""startp"":""2020-12-25 00:00"",""endp"":""2020-12-26 00:00"",""is_close"":true},{""startp"":""2020-12-26 00:00"",""endp"":""2020-12-27 00:00"",""is_close"":true}],""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]}]}",7,,,2,,1,,1,,,1,1,,,,,,,,,
51d4b592-a095-1aa0-e100-80009459e03a,JET ROSENHEIM KUFSTEINER STR. 85,JET,KUFSTEINER STR. 85,,83026,ROSENHEIM,47.8439,12.1242,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""00:00""}]}]}",13,,,1,1,,,1,,,,,,,,,,,,,
7aac5ce2-e2e0-4f6b-a353-f953966bf1d0,Aral Tankstelle,ARAL,Kufsteiner Stra??e,57,83022,Rosenheim,47.8487663,12.1275387,3/18/2014 16:45,{},6,1,,1,1,,,1,1,1,,1,,,,,1,,,,
e8e0e0a8-a6c5-4d25-824d-d6160e6fd5c7,Jonke Adolf & Stephan,bft - Walther,Lackermannweg,10,83071,Stephanskirchen,47.86515,12.16598,5/16/2014 0:00,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:30"",""endp"":""22:00""}]}]}",18,,,2,,,1,,,,1,1,1,1,,,,,,,
492294ce-7213-4204-95a1-8c0e6b8a7387,Rosenheim Renkenweg 1,OMV,Renkenweg,1,83026,Rosenheim,47.84331,12.08196,3/18/2014 16:45,{},3,,1,2,,1,,1,1,1,1,1,,,,1,,,,,
c2e1a98c-6029-467f-8106-c8e0bcaa1dfc,ROHRDORF - ROSENHEIMER STR. 44,Agip,Rosenheimer Str.,44,83101,Rohrdorf,47.82453501,12.15353384,3/20/2014 0:00,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",16,1,,3,,1,,1,,,,1,,,,1,,,,,
c5c38c4f-9d55-4904-93c8-1be19e28cc90,"Kolbermoor, Rosenheimer Str. 60",HEM,Rosenheimer Str.,60,83059,Kolbermoor,47.84908,12.07719,9/20/2016 0:00,"{""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",20,,,2,,1,,1,1,,1,1,,,1,,,,,,
f2be59a2-b86b-43f7-8f34-d0cf568bc688,Raubling Rosenheimer Str. 40,OMV,Rosenheimer Str.,40,83064,Raubling,47.79679,12.12035,3/18/2014 16:45,{},10,,,3,,1,,,,,,,,,,,,,,,
a877c7d9-ac7e-4106-b5dd-08d87dd2add1,Aral Tankstelle,ARAL,Rosenheimer Stra??e,30a,83059,Kolbermoor,47.8498764,12.0677061,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",5,,,3,1,,,1,,,,1,,,,,,,,,
8a1a2351-9ddb-4f26-afa3-694af9de4474,Aral Tankstelle,ARAL,Rosenheimer Stra??e,83,83064,Raubling,47.80479,12.1198769,3/18/2014 16:45,{},8,,,3,1,,,1,1,1,,1,,,,1,,,,,
3d00f71d-afb6-4eab-bfad-f72bd4b643fa,Esso Tankstelle,ESSO,SALZBURGER STR. 43, ,83071,STEPHANSKIRCHEN,47.8589,12.150872,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",12,,,2,1,,,1,,,,1,,,,,,,,,
894dc0c5-383c-4328-91d8-ac14ab549c53,Aral Tankstelle,ARAL,Salzburger Stra??e,64,83071,Stephanskirchen,47.8603935,12.15434,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":127,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]}]}",9,,,2,1,,,1,,,,1,,,,,,,,,
fb456de7-807a-42aa-9510-c92bb58d9c3a,"ROSENHEIM, WESTERNDORFER STR.",Shell,WESTERNDORFER STR. 70,,83024,Rosenheim,47.875147,12.111214,3/18/2014 16:45,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:30"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""07:30"",""endp"":""22:00""}]}]}",2,,,3,1,,,1,,1,,1,,,,,,,,,
